750749	-137	646	693
750762	-153	641	673
750775	-182	646	634
750788	-208	646	637
750801	-211	647	647
750814	-220	650	674
750827	-227	653	681
750840	-251	655	671
750853	-253	666	652
750866	-254	673	651
750879	-237	693	674
750892	-233	727	733
750906	-231	753	754
750919	-236	807	777
750931	-265	878	793
750944	-323	940	820
750958	-350	993	900
750971	-334	1025	922
750984	-302	1045	963
750997	-228	997	1052
751010	-174	1000	1078
751024	-71	999	1060
751036	-13	992	1017
751049	118	978	851
751062	197	946	583
751075	233	910	437
751088	276	853	183
751102	257	798	6
751115	229	783	-42
751129	169	761	-49
751143	129	736	84
751155	154	710	163
751169	264	654	243
751182	359	619	181
751195	376	599	137
751208	320	496	68
751221	263	422	51
751234	167	280	35
751247	162	187	86
751260	164	145	144
751273	165	70	331
751286	196	14	545
751299	201	-18	633
751313	191	-79	751
751326	203	-134	755
751339	213	-147	725
751352	205	-172	634
751364	170	-180	641
751378	106	-155	707
751391	70	-132	838
751404	66	-126	900
751417	103	-82	974
751430	116	-51	979
751444	108	-33	960
751457	67	-6	852
751469	38	-5	821
751482	-25	-19	795
751495	-69	-15	816
751509	-89	-19	870
751522	-102	-12	979
751535	-60	34	1030
751548	-46	34	1031
751561	-14	-26	1021
751574	1	-56	1014
751587	24	-66	988
751600	25	-14	955
751613	11	-5	951
751626	-3	2	969
751639	-45	-58	1019
751653	-61	-61	1043
751666	-102	-60	1061
751678	-118	-44	1055
751691	-154	-26	1040
751705	-173	-23	1014
751717	-194	-29	1009
751731	-243	-45	1013
751744	-320	-39	1044
751757	-369	3	1084
751770	-468	46	1115
751783	-593	46	1152
751796	-654	19	1170
751809	-762	-24	1199
751822	-770	-21	1204
751835	-701	3	1270
751848	-607	24	1363
751861	-594	10	1417
751875	-615	-45	1567
751888	-678	-83	1606
751901	-700	-82	1593
751914	-720	-200	1538
751926	-682	-249	1548
751940	-465	-336	1511
751953	-82	-364	1631
751966	74	-383	1763
751979	310	-356	2021
751992	338	-368	2145
752006	296	-388	2128
752019	249	-401	1983
752032	261	-388	1872
752045	252	-400	1654
752058	227	-377	1484
752070	209	-379	1429
752084	228	-350	1316
752097	247	-319	1156
752110	256	-299	1067
752123	280	-245	923
752136	264	-188	790
752151	249	-160	761
752164	230	-112	688
752177	210	-13	562
752190	208	28	515
752204	155	49	479
752216	144	63	425
752229	138	109	325
752242	114	124	243
752255	102	132	222
752268	87	168	232
752281	154	231	326
752295	147	185	402
752308	154	196	488
752320	133	202	517
752333	130	215	597
752346	141	169	666
752359	131	152	672
752373	70	145	674
752386	55	126	719
752399	69	124	753
752412	97	114	809
752424	94	118	844
752438	46	96	946
752451	17	105	1077
752464	34	97	1124
752477	80	80	1154
752490	78	106	1153
752503	79	139	1177
752516	121	157	1239
752529	141	152	1262
752542	205	173	1247
752555	256	195	1182
752568	295	216	1150
752581	348	319	1124
752594	358	338	1062
752608	382	375	1015
752621	371	410	930
752633	346	430	927
752646	312	465	743
752660	274	550	570
752672	267	575	461
752686	275	646	317
752699	280	698	216
752712	292	736	173
752725	307	775	191
752738	316	785	225
752751	326	847	363
752764	321	896	557
752777	322	890	645
752790	343	902	700
752803	348	914	644
752816	365	910	611
752829	406	895	546
752842	417	879	536
752855	437	837	558
752868	430	772	583
752881	414	737	596
752894	433	701	638
752907	457	603	713
752921	449	550	719
752934	372	479	707
752946	310	437	709
752959	214	280	713
752972	109	94	688
752985	40	-22	677
752999	-105	-260	659
753012	-205	-378	722
753025	-237	-432	800
753038	-189	-456	807
753051	-56	-429	797
753064	-53	-402	830
753077	-62	-291	1045
753090	-67	-227	1198
753103	-67	-194	1504
753116	-52	-195	1785
753129	-13	-175	1866
753143	38	-109	1737
753156	18	-116	1455
753170	25	-124	1292
753183	78	-100	979
753196	117	-53	795
753210	131	-5	765
753223	86	46	791
753236	85	60	926
753249	133	92	991
753262	206	197	1021
753275	202	226	994
753288	172	194	904
753301	199	217	831
753314	202	271	801
753327	144	344	773
753341	54	329	799
753354	42	323	824
753367	100	384	859
753379	124	427	863
753392	144	433	811
