1269071	84	579	615
1269085	119	577	527
1269098	138	581	527
1269111	98	547	526
1269124	25	547	469
1269137	-6	544	435
1269151	-28	537	365
1269163	-31	541	320
1269176	-1	565	275
1269189	107	572	465
1269202	156	576	543
1269215	212	590	651
1269229	197	576	611
1269242	182	592	540
1269255	141	593	400
1269268	135	587	346
1269281	136	584	262
1269294	57	544	232
1269306	6	527	241
1269320	-30	497	269
1269334	1	444	264
1269347	13	414	252
1269360	95	382	309
1269373	204	364	376
1269386	254	347	425
1269399	309	312	508
1269412	346	265	547
1269425	365	247	541
1269439	418	233	501
1269451	433	215	506
1269464	453	208	542
1269477	457	149	650
1269491	475	144	697
1269504	484	135	741
1269517	450	132	730
1269530	416	143	700
1269543	314	171	611
1269556	263	191	581
1269569	224	180	607
1269582	262	181	700
1269595	301	180	754
1269608	372	198	850
1269622	387	229	928
1269635	373	216	958
1269648	341	202	979
1269660	326	202	951
1269674	302	201	941
1269687	255	224	924
1269700	217	233	907
1269713	103	170	850
1269726	2	116	816
1269739	-48	95	852
1269753	-110	92	935
1269765	-121	147	1060
1269778	-110	191	1141
1269792	-54	255	1329
1269804	0	267	1409
1269817	113	300	1459
1269831	139	307	1448
1269844	113	319	1403
1269857	11	340	1257
1269870	-68	353	1111
1269883	-105	364	1038
1269896	-178	413	990
1269908	-216	426	1020
1269922	-248	421	1152
1269935	-258	422	1269
1269948	-263	427	1331
1269961	-293	450	1552
1269974	-324	446	1841
1269988	-313	468	1957
1270001	-246	457	2156
1270013	-176	437	2210
1270026	-139	438	2166
1270040	-147	419	2089
1270053	-150	413	2040
1270066	-109	400	1933
1270079	-66	369	1796
1270092	-57	339	1716
1270106	8	303	1531
1270118	51	279	1416
1270131	65	282	1100
1270144	103	311	889
1270157	117	324	819
1270170	127	317	641
1270184	93	306	383
1270197	91	304	251
1270210	23	284	-13
1270222	-2	254	-170
1270235	-17	274	-458
1270249	-22	383	-618
1270262	-7	415	-618
1270275	-134	342	-507
1270288	-186	309	-305
1270301	-226	274	-217
1270314	-233	272	-122
1270328	-248	212	22
1270342	-288	177	67
1270355	-461	125	133
1270368	-619	92	132
1270381	-673	77	118
1270395	-730	91	74
1270407	-760	94	90
1270420	-916	64	199
1270433	-958	34	260
1270446	-928	19	295
1270459	-820	-2	349
1270473	-717	-21	417
1270486	-679	-18	453
1270499	-603	-27	545
1270512	-483	-33	576
1270525	-424	-43	595
1270538	-260	-47	653
1270551	-191	-29	624
1270564	-11	48	737
1270577	25	119	1147
1270590	23	154	1307
1270604	-16	259	1439
1270617	-147	328	1475
1270630	-195	329	1497
1270643	-298	442	1451
1270656	-359	420	1495
1270669	-464	436	1595
1270682	-582	445	1784
1270695	-617	422	1906
1270708	-583	456	2001
1270721	-558	457	1907
1270735	-576	460	1787
1270748	-610	448	1600
1270760	-699	396	1457
1270774	-732	379	1406
1270787	-811	361	1303
1270799	-839	347	1243
1270813	-869	324	1133
1270826	-848	307	920
1270839	-819	321	836
1270852	-766	326	708
1270865	-684	338	616
1270878	-652	351	585
1270891	-576	382	523
1270904	-549	397	509
1270917	-506	431	516
1270930	-481	442	503
1270943	-473	451	484
1270957	-459	465	446
1270970	-452	479	400
1270983	-446	490	391
1270996	-469	507	376
1271009	-492	517	376
