61059,187,52,1005
61160,167,90,915
61260,216,100,911
61360,296,109,862
61461,352,124,866
61561,392,126,902
61661,391,158,848
61761,331,138,844
61862,263,92,946
61962,192,93,898
62062,307,115,867
62163,344,125,867
62263,366,132,865
62363,369,133,831
62463,319,114,857
62563,299,109,889
62664,250,100,937
62763,292,117,935
62864,319,124,906
62963,330,128,884
63064,389,144,861
63164,359,116,864
63264,305,109,858
63364,230,99,878
63464,208,95,907
63564,258,118,900
63664,325,114,922
63765,339,125,877
63865,290,114,890
63965,233,92,942
64065,241,113,900
