43726,590,200,961
43826,399,151,905
43927,254,143,788
44027,75,159,806
44127,3,140,901
44228,253,178,906
44328,395,154,935
44428,327,176,840
44528,266,95,934
44629,178,76,872
44729,229,66,883
44829,370,82,848
44929,460,66,891
45030,562,100,1038
45130,281,28,1102
45230,595,93,1009
45330,321,34,716
45430,248,41,756
45531,365,127,832
45630,364,115,1045
45731,85,31,1071
45830,-5,14,894
45931,267,66,865
46031,399,85,815
46131,382,45,853
46231,344,60,820
46331,307,45,889
46431,342,53,891
