1237320	-16	663	680
1237333	21	707	714
1237346	23	721	713
1237359	8	754	674
1237372	26	887	629
1237385	42	977	638
1237398	18	1195	707
1237411	-37	1319	832
1237425	-102	1305	885
1237438	-248	1254	865
1237451	-267	1271	831
1237464	-278	1223	736
1237479	-224	1126	699
1237492	-71	1007	766
1237505	-24	974	838
1237518	57	818	1098
1237532	175	587	1363
1237545	224	523	1451
1237558	428	543	1337
1237570	510	551	1214
1237584	665	516	951
1237597	695	411	797
1237610	775	388	792
1237623	788	244	756
1237636	691	201	609
1237649	613	182	529
1237662	448	105	395
1237675	408	77	355
1237688	475	88	356
1237701	582	113	486
1237714	595	97	566
1237727	564	58	628
1237740	557	66	638
1237754	543	77	603
1237767	526	83	484
1237779	501	75	395
1237793	469	51	236
1237806	390	85	105
1237818	347	100	46
1237832	283	101	-38
1237845	240	129	-136
1237858	239	143	-189
1237871	248	154	-265
1237884	208	186	-365
1237897	178	203	-386
1237910	106	200	-401
1237923	79	179	-410
1237936	59	167	-424
1237949	89	170	-416
1237962	102	155	-397
1237976	102	95	-308
1237989	73	74	-211
1238002	53	60	-182
1238015	-19	-8	-206
1238027	-36	-13	-237
1238041	-34	-65	-200
1238054	33	-144	3
1238067	109	-151	128
1238080	275	-202	374
1238094	415	-199	603
1238107	484	-200	730
1238120	624	-162	918
1238133	747	-147	1202
1238146	786	-122	1274
1238159	776	-102	1417
1238172	720	-135	1489
1238185	649	-134	1624
1238198	689	-188	1834
1238211	691	-218	1902
1238224	693	-246	1983
1238238	751	-301	2133
1238251	806	-336	2230
1238264	892	-356	2409
1238276	915	-384	2502
1238290	1021	-408	2622
1238303	1139	-440	2658
1238316	1237	-447	2682
1238329	1387	-419	2638
1238342	1369	-409	2525
1238356	1326	-398	2452
1238369	1111	-397	2154
1238382	848	-438	1833
1238395	724	-436	1649
1238408	505	-482	1249
1238421	417	-481	1073
1238434	235	-443	702
1238447	55	-418	385
1238460	11	-396	218
1238475	-60	-325	-69
1238488	-65	-237	-204
1238501	-68	-192	-250
1238514	-107	-146	-300
1238527	-114	-114	-341
1238540	-141	-80	-360
1238554	-191	-64	-408
1238567	-218	30	-523
1238580	-254	34	-507
1238593	-256	69	-589
1238606	-241	87	-640
1238619	-257	81	-673
1238632	-306	76	-711
1238645	-309	64	-685
1238658	-283	37	-508
1238671	-208	9	-309
1238685	-189	-20	-159
1238698	-73	-49	232
1238710	3	-45	386
1238724	197	-101	619
1238737	340	-128	728
1238749	414	-98	815
1238763	445	-128	1001
1238776	396	-93	1283
1238789	361	-93	1421
1238802	296	-94	1669
1238815	287	-83	1775
1238828	270	-80	1797
1238841	264	-87	1871
1238854	283	-106	2009
1238867	233	-111	2144
1238880	203	-105	2240
1238894	201	-108	2295
1238907	306	-136	2468
1238920	485	-126	2753
1238933	572	-118	2955
1238946	582	-157	3305
1238959	536	-173	3300
1238972	419	-160	3095
1238985	351	-157	2888
1238998	345	-168	2792
1239011	312	-201	2522
1239025	276	-245	2147
1239038	251	-273	1941
1239051	161	-311	1514
1239064	5	-323	1067
1239077	-29	-302	892
1239090	-28	-248	702
1239103	10	-223	659
1239116	24	-233	544
1239129	-50	-236	412
1239143	-65	-229	353
1239156	-131	-264	177
1239169	-253	-274	-57
1239182	-326	-251	-165
1239195	-437	-194	-273
1239208	-422	-104	-308
1239221	-510	-108	-309
1239234	-613	-100	-333
1239247	-595	-68	-321
1239260	-603	-30	-264
1239273	-559	-12	-144
1239287	-521	-4	-66
1239300	-389	13	61
1239312	-321	67	86
1239325	-236	126	155
1239339	-139	148	163
