622724,374,474,707
622737,326,466,743
622750,296,471,825
622763,265,467,891
622777,241,423,916
622790,261,384,897
622803,318,375,856
622816,347,363,831
622830,382,380,782
622842,370,369,764
622855,286,343,747
622868,195,301,730
622881,191,277,706
622895,371,257,598
622908,670,334,448
622921,741,359,372
622934,670,339,217
622947,506,264,115
622961,450,240,82
622974,431,194,82
622986,461,163,108
622999,640,167,195
623013,932,172,228
623026,1049,197,187
623039,1243,261,81
623052,1287,293,-37
623065,1238,295,-71
623079,1032,205,-131
623091,928,143,-93
623105,965,137,-64
623118,1118,181,-60
623130,1181,218,-70
623144,1248,241,-70
623157,1271,261,-39
623170,1251,263,-28
623183,1070,211,8
623196,972,184,65
623210,926,176,108
623223,892,167,189
623235,921,182,218
623249,981,230,220
623262,1025,220,189
623275,1035,214,156
623288,976,146,200
623301,807,56,338
623314,717,35,455
623328,557,13,695
623341,490,33,844
623354,491,47,882
623367,612,82,897
623380,665,87,904
623393,753,91,853
623406,733,60,831
623419,673,47,838
623432,491,52,852
623446,343,65,895
623459,323,67,910
623473,330,57,936
623486,420,63,966
623499,476,94,976
623513,556,141,976
623526,574,159,962
623539,558,150,940
623552,496,120,909
623565,446,116,954
623579,431,133,984
623592,475,128,1096
623604,518,142,1069
623618,616,185,1002
623631,638,207,943
623644,638,219,919
623657,578,225,906
623670,434,161,968
623683,405,103,1025
623697,518,63,1101
623710,721,104,1115
623723,797,121,1096
623736,903,153,1047
623749,857,142,992
623762,738,47,951
623775,845,-28,897
623788,969,-1,841
623801,1175,64,707
623815,1224,63,656
623828,1218,46,633
623841,1241,45,522
623854,1288,82,446
623868,1291,70,412
623881,1252,39,364
623893,1231,17,339
623906,1198,3,283
623920,1146,22,239
623932,1090,26,215
623946,993,31,186
623959,967,61,141
623972,963,68,124
623985,866,63,142
623999,732,37,142
624012,683,29,147
624025,637,53,80
624038,624,59,57
624051,615,43,149
624064,726,49,311
624077,771,58,343
624090,760,98,306
624103,702,102,329
624117,667,108,339
624130,635,114,355
624143,695,147,365
624156,746,159,382
624170,855,208,433
624182,886,207,500
624195,863,190,620
624208,792,179,655
624221,747,185,682
624235,635,172,657
624248,578,181,649
624261,594,176,655
624274,672,205,690
624288,694,192,841
624301,690,187,953
624314,705,205,1100
624326,712,229,1129
624340,684,210,1148
624353,604,194,1137
624366,584,192,1146
624379,551,225,1144
624392,547,249,1269
624405,569,262,1351
624419,564,257,1515
624432,416,193,1607
624445,342,159,1630
624458,185,145,1488
624471,166,165,1357
624484,148,232,1072
624499,120,270,927
624511,98,261,898
624524,46,264,820
624537,104,250,776
624550,164,260,779
624564,166,259,739
624577,53,216,603
624590,4,194,556
624603,21,176,463
624616,144,181,311
624630,219,173,259
624643,428,223,247
624655,547,249,248
624668,695,273,161
624681,793,258,32
624695,850,267,-55
624708,963,285,-174
624721,1055,328,-131
624734,1075,340,-82
624748,1082,348,47
624761,1093,374,114
624774,1085,389,108
624787,1033,395,97
624799,948,387,102
624813,910,369,131
624826,922,369,172
624839,928,386,207
624852,923,400,292
624866,905,387,399
624879,884,388,425
624892,821,379,417
624904,782,381,410
624918,725,401,356
624931,721,420,346
624944,719,450,328
624957,715,451,358
