304001,475,125,284
304014,481,154,275
304027,467,166,314
304040,449,161,383
304054,456,130,565
304067,524,111,651
304080,665,138,668
304093,798,201,613
304105,843,213,609
304119,896,207,663
304132,890,201,722
304145,865,183,729
304158,805,178,734
304171,809,189,733
304185,826,200,718
304198,852,218,693
304211,850,228,691
304224,839,228,708
304237,771,215,715
304250,722,200,693
304263,639,190,624
304276,578,193,559
304289,568,197,540
304302,586,205,555
304316,596,235,616
304329,618,235,655
304342,642,239,713
304354,626,233,727
304368,553,186,724
304381,550,181,732
304394,549,185,752
304407,520,171,758
304420,515,168,694
304434,537,186,661
304447,558,225,612
304461,576,216,613
304474,617,233,643
304487,639,262,695
304501,593,214,705
304514,594,225,713
304527,599,215,714
304540,591,207,680
304553,606,221,680
304567,633,241,667
304579,622,242,655
304592,604,230,627
304605,631,232,645
304618,659,235,667
304632,690,227,681
304645,695,231,694
304658,687,233,704
304671,654,223,706
304684,627,216,715
304698,625,218,708
304711,670,224,677
304723,706,228,667
304737,775,250,681
304750,819,248,705
304763,851,255,712
304776,935,269,717
304789,1019,286,718
304803,1089,301,703
304816,1315,368,667
304829,1511,436,690
304842,1525,413,708
304855,1483,371,752
304868,1448,333,734
304881,1362,288,663
304894,1224,247,615
304907,1173,237,608
304920,1072,216,546
304934,1041,205,463
304947,1047,204,412
304960,1049,213,300
304973,1020,196,253
304986,860,143,167
304999,705,99,79
305012,634,90,16
305025,520,78,-98
305038,451,73,-162
305051,424,70,-211
305065,355,64,-364
305078,297,79,-368
305091,224,63,-281
305104,97,44,-92
305117,40,49,-68
305130,-87,44,-85
305143,-252,-4,-58
305156,-348,-28,25
305169,-545,-58,319
305183,-707,-73,660
305196,-750,-62,851
305209,-761,-99,990
305222,-558,-69,1128
305236,-415,-15,1176
305249,-156,119,1303
305261,-96,129,1349
305274,-68,122,1337
305288,-32,129,1294
305301,12,127,1312
305314,127,132,1358
305327,96,114,1426
305340,121,96,1478
305353,364,149,1555
305367,674,234,1443
305380,755,262,1341
305393,777,280,1171
305405,680,239,1124
305418,423,114,1115
305432,276,33,1140
305445,285,17,1150
305458,471,55,1108
305471,689,126,934
305486,745,157,839
305499,718,134,713
305512,771,109,659
305525,870,149,626
305538,1068,221,575
305552,1153,262,486
305565,1184,282,467
305578,1114,224,386
305591,923,146,377
305605,910,104,473
305618,1023,118,519
305630,1144,176,516
305643,1268,225,458
305656,1210,196,367
305669,1139,165,304
305683,1006,118,318
305696,908,88,430
305709,874,81,493
305722,810,52,683
305736,738,15,740
305749,699,-8,737
305762,650,-21,752
305774,639,-23,805
305788,514,-47,956
305801,277,-144,1128
305814,140,-186,1174
305827,-63,-214,1300
305840,-48,-166,1322
305854,1,-112,1223
305867,77,-47,1014
305880,149,7,923
305893,165,-4,961
305907,172,-14,1144
305919,161,-16,1212
305932,101,-34,1210
305946,74,-54,1071
305958,108,-35,994
305972,220,5,875
305985,348,39,813
305998,405,56,816
306011,459,60,845
306025,435,45,866
306038,412,35,872
306051,370,-6,883
306063,361,-13,899
306077,420,10,943
306089,461,7,936
306103,470,16,938
