402020	-603	653	426
402033	-591	651	407
402047	-579	655	396
402060	-558	654	377
402073	-552	655	373
402087	-556	656	373
402100	-575	652	374
402113	-588	654	412
402126	-591	649	431
402140	-591	650	457
402153	-595	645	457
402166	-595	644	446
402179	-594	638	416
402192	-594	638	399
402205	-601	629	369
402218	-602	629	377
402231	-595	627	386
402244	-591	627	408
402258	-584	635	447
402271	-581	637	459
402284	-573	639	457
402297	-570	643	428
402310	-566	642	414
402324	-587	640	393
402336	-595	638	396
402349	-593	636	429
402362	-584	642	451
402375	-581	644	461
402389	-566	641	473
402402	-545	644	458
402415	-530	644	444
402428	-491	640	412
402441	-452	642	391
402454	-375	656	363
402467	-310	681	371
402480	-281	698	393
402493	-227	772	522
402506	-206	874	671
402520	-230	906	746
402533	-299	981	809
402545	-365	1026	845
402559	-512	1101	906
402572	-744	1165	1046
402584	-879	1183	1143
402598	-1054	1173	1418
402611	-1061	1135	1334
402624	-1067	1109	1231
402637	-1165	1035	987
402650	-1187	983	815
402663	-1167	945	735
402676	-1052	880	586
402689	-980	869	506
402702	-834	854	567
402715	-771	769	723
402728	-766	704	697
402742	-855	598	561
402755	-899	572	486
402768	-903	586	461
402781	-906	529	529
402793	-767	538	510
402807	-672	471	353
402820	-675	366	39
402833	-725	317	-85
402846	-830	256	-190
402860	-882	243	-153
402873	-891	236	-146
402886	-905	209	-183
402898	-906	198	-214
402912	-842	148	-305
402925	-684	97	-395
402938	-593	65	-378
402951	-456	18	-284
402964	-431	-65	-192
402977	-439	-107	-152
402990	-475	-189	-101
403003	-390	-254	-113
403016	-339	-291	-116
403029	-185	-344	-102
403042	-57	-354	-52
403055	199	-352	80
403068	468	-343	253
403083	590	-311	341
403096	720	-279	518
403109	741	-240	694
403122	731	-223	770
403135	733	-177	832
403149	774	-161	799
403162	769	-161	761
403175	677	-183	702
403188	662	-165	832
403201	745	-180	1055
403215	893	-113	1363
403227	944	-110	1486
403240	954	-103	1683
403254	862	-100	1852
403267	767	-112	1943
403280	607	-132	2169
403293	508	-130	2338
403306	488	-123	2406
403320	475	-103	2536
403332	433	-63	2692
403346	412	-45	2769
403359	409	-8	2851
403371	413	5	2828
403384	365	38	2687
403398	225	-7	2466
403411	157	-15	2326
403424	56	-32	2029
403437	-16	-60	1740
403450	-41	-67	1609
403464	-70	-81	1346
403476	-86	-104	1228
403489	-139	-106	1026
403502	-218	-133	843
403516	-261	-147	750
403529	-332	-120	570
403542	-399	-128	385
403555	-391	-117	263
403568	-303	-79	47
403581	-242	-51	-35
403594	-162	-41	-153
403607	-144	0	-323
403620	-125	-4	-399
403633	-115	-4	-479
403646	-126	15	-600
403660	-140	50	-608
403673	-167	66	-604
403685	-178	0	-508
403699	-173	-48	-454
403712	-91	-84	-387
403724	-7	-77	-353
403738	188	-54	-301
403751	338	-49	-180
403764	379	-50	-82
403777	430	-54	217
403790	486	-7	447
403803	478	5	528
403817	336	15	570
403829	259	27	576
403842	151	81	708
403855	106	100	976
403869	95	96	1069
403882	6	212	1066
403895	-196	315	1065
403908	-334	319	1118
403921	-541	298	1323
403934	-668	310	1398
403947	-998	433	1499
403960	-1322	479	1643
403973	-1393	515	1698
403986	-1372	581	1752
403999	-1301	627	1641
404013	-1250	633	1854
404026	-1113	558	2216
404039	-877	513	2410
404052	-770	470	2403
404065	-645	365	2636
404078	-555	267	2602
404092	-402	244	2277
404105	-320	129	1915
404118	-277	55	1816
404131	-159	-5	1682
404144	-22	-52	1566
404157	43	-70	1505
404171	183	-138	1444
404184	338	-77	1227
404197	370	-109	1154
404210	401	-131	1015
404223	410	-126	949
404236	435	-124	855
404249	404	-127	792
404262	376	-128	828
404275	306	-143	952
404288	223	-163	973
404302	196	-171	918
404315	148	-185	721
404327	104	-181	613
404340	-25	-190	430
404354	-106	-175	297
404366	-121	-153	255
404380	-125	-102	263
404393	-195	-53	311
404406	-230	-23	340
404419	-323	51	487
404432	-307	91	520
404445	-183	150	501
404458	-51	257	499
404471	-18	299	495
404484	34	340	523
