879000	-330	-145	910
879013	-340	-153	907
879026	-345	-156	904
879040	-342	-152	899
879052	-348	-149	891
879065	-353	-154	887
879078	-349	-153	881
879091	-346	-154	869
879105	-349	-154	849
879118	-357	-158	840
879131	-369	-157	835
879144	-379	-165	841
879157	-378	-171	851
879170	-375	-173	859
879183	-375	-177	878
879196	-372	-176	898
879209	-369	-165	940
879222	-385	-165	987
879235	-388	-161	1008
879249	-377	-155	1052
879261	-391	-158	1088
879275	-425	-172	1115
879288	-496	-202	1166
879300	-539	-215	1197
879313	-632	-217	1309
879328	-714	-220	1469
879340	-720	-216	1562
879354	-760	-183	1803
879367	-789	-163	1932
879380	-792	-147	2003
879393	-748	-97	2092
879407	-604	-108	2099
879420	-529	-65	2001
879433	-387	-48	1716
879445	-330	-15	1572
879459	-277	-14	1455
879472	-105	59	1394
879485	-45	59	1336
879498	40	81	1187
879511	48	65	1038
879524	75	83	960
879537	120	129	805
879549	148	161	746
879563	181	213	678
879576	228	236	595
879589	258	243	523
879602	287	256	319
879615	327	242	80
879629	332	233	-25
879642	324	205	-171
879654	316	200	-208
879667	265	180	-242
879681	218	133	-244
879693	191	119	-253
879707	104	86	-275
879720	31	51	-306
879733	6	29	-332
879746	-35	-10	-412
879759	-51	-32	-439
879772	-151	-124	-369
879785	-220	-192	-281
879798	-237	-212	-247
879811	-256	-215	-204
879824	-288	-228	-128
879837	-304	-235	-101
879851	-302	-227	-33
879864	-287	-272	71
879877	-259	-290	115
879890	-155	-338	250
879903	-102	-354	334
879916	-42	-376	529
879929	-124	-367	664
879942	-187	-360	730
879955	-236	-339	937
879968	-294	-359	1131
879982	-265	-394	1185
879995	-19	-390	1155
880007	40	-373	1053
880020	-85	-423	831
880034	-252	-480	889
880046	-386	-497	1059
880060	-646	-516	1621
880073	-736	-584	2344
880086	-757	-688	2748
880099	-699	-652	3112
880112	-703	-635	3389
880125	-758	-608	3511
880139	-901	-549	3679
880151	-941	-527	3673
880164	-806	-498	3566
880177	-493	-511	3336
880191	-291	-542	2962
880204	-205	-559	2540
880217	-242	-591	2265
880230	-230	-535	2033
880244	-197	-545	1808
880256	-222	-585	1726
880269	-230	-619	1451
880282	-161	-603	1124
880295	-114	-608	1024
880308	-41	-580	807
880322	-7	-537	573
880335	0	-503	466
880349	36	-440	301
880362	39	-394	141
880375	41	-376	46
880388	30	-346	-159
880402	7	-326	-372
880415	-57	-327	-492
880428	-112	-261	-724
880440	-133	-231	-798
880454	-151	-187	-846
880467	-140	-150	-804
880480	-105	-137	-741
880493	-44	-90	-623
880506	-88	-75	-543
880519	-136	-81	-518
880533	-235	-101	-471
880545	-298	-116	-443
880559	-316	-132	-409
880572	-293	-147	-339
880584	-274	-163	-283
880597	-325	-251	108
880611	-303	-293	472
880624	-262	-276	620
880637	-142	-218	934
880649	-97	-223	1071
880663	-112	-288	1236
880676	-260	-358	1318
880689	-326	-361	1420
880702	-390	-384	1815
880715	-335	-348	2311
880728	-285	-315	2441
880741	-257	-297	2509
880755	-294	-447	2688
880768	-299	-487	2745
880781	-208	-457	2872
880793	-169	-457	2971
880807	-108	-434	3191
880820	-106	-446	3429
880833	-106	-476	3347
880846	-121	-413	2902
880859	-110	-523	2423
880873	-157	-575	2209
880886	-201	-590	1813
880899	-97	-538	1583
880912	-14	-501	1537
880925	100	-427	1433
880937	125	-395	1377
880951	125	-373	1263
880964	97	-370	1125
880977	88	-366	1045
880990	71	-365	862
881003	109	-346	693
881017	111	-314	474
881030	83	-265	249
881042	77	-236	159
881055	77	-195	44
881069	79	-162	-32
881082	65	-153	-68
881095	33	-138	-177
881108	1	-123	-319
881121	-5	-121	-397
881135	2	-83	-551
881147	11	-73	-615
881160	23	-47	-626
881173	19	-2	-697
881186	11	28	-701
881199	-35	41	-614
881213	-93	20	-555
881226	-111	0	-549
881239	-121	-64	-564
881252	-111	-88	-564
881265	-137	-150	-605
881278	-173	-238	-566
881291	-226	-295	-486
881304	-410	-401	-196
881317	-623	-479	219
881331	-699	-471	467
881345	-741	-396	945
881358	-708	-344	1282
881371	-708	-322	1359
881384	-727	-350	1385
881397	-730	-302	1426
881410	-801	-307	1570
881424	-892	-242	1970
881437	-901	-171	2346
881450	-902	-170	2366
881463	-844	-179	2607
881475	-839	-158	2664
881488	-789	-126	2613
881502	-764	-105	2386
881515	-752	-102	2274
881528	-698	-88	2066
881541	-629	-59	1897
881555	-615	-54	1824
