429454,582,531,646
429467,569,535,663
429480,579,546,665
429493,558,539,564
429507,453,511,365
429520,394,494,281
429533,270,438,221
429546,97,321,316
429560,-5,262,422
429573,-231,150,644
429585,-323,116,693
429599,-493,103,547
429612,-614,133,320
429625,-677,136,245
429638,-828,105,205
429651,-936,-47,396
429664,-931,-67,492
429678,-720,-91,697
429691,-319,24,825
429704,-97,64,841
429717,282,67,601
429730,437,130,367
429743,772,254,124
429756,1061,281,221
429769,1230,310,285
429782,1470,401,356
429796,1324,408,362
429809,1129,313,374
429822,1113,234,486
429835,1518,366,501
429848,1718,405,552
429862,1882,423,712
429874,1834,397,747
429887,1420,180,741
429900,1187,22,713
429913,1237,54,698
429927,1404,173,713
429940,1369,190,775
429953,1265,181,722
429966,1003,89,531
429978,894,78,474
429991,700,51,460
430005,569,21,684
430018,521,2,816
430032,485,-18,940
430045,644,11,994
430058,748,42,1119
430071,566,-24,1354
430084,315,-65,1593
430097,211,-103,1719
430111,80,-102,1775
430124,42,-94,1831
430137,29,-117,1889
430151,-32,-111,1881
430163,32,-65,1922
430176,200,14,1741
430189,285,49,1314
430202,316,69,1158
430215,410,118,927
430229,552,162,903
430242,641,175,937
430255,823,219,977
430268,890,215,948
430282,889,212,911
430295,850,227,873
430307,830,236,898
430320,809,248,988
430334,802,229,1019
430347,787,209,993
430360,787,172,995
430373,757,168,1002
430386,724,153,1022
430400,690,149,1008
430413,650,171,830
430426,607,171,732
430439,494,167,584
430452,457,174,513
430465,367,198,382
430478,295,204,311
430491,290,221,252
430504,237,241,119
430517,138,246,-25
430531,91,255,-89
430544,34,257,-141
430557,46,289,-227
430570,42,294,-256
430584,-18,237,-266
430596,-65,211,-289
430609,-180,104,-293
430623,-278,69,-219
430635,-260,57,-98
430649,-239,57,8
430662,-110,77,35
430675,-46,100,-4
430688,26,91,-102
430702,219,61,-86
430715,374,81,-46
430728,661,210,97
430740,718,256,172
430754,579,258,199
430767,285,96,245
430780,255,3,328
430793,471,-125,457
430806,857,-49,786
430819,1003,21,1011
430833,1026,65,1412
430846,966,-43,1712
430859,1018,-59,1699
430873,1334,56,1688
430885,1271,39,1514
430898,1104,-28,1379
430911,894,-56,1469
430924,783,-80,1467
430937,722,-62,1393
430951,878,14,1211
430964,932,37,1111
430977,950,53,980
430990,873,9,866
431004,807,0,903
431017,695,-49,1001
431029,633,-79,1033
431043,540,-91,1038
431056,527,-102,1018
431069,529,-95,1008
431083,569,-65,874
431096,595,-55,706
431109,579,-37,640
431122,552,-42,636
431135,536,-41,669
431148,526,-56,680
431162,549,-64,743
431175,543,-84,823
431188,565,-92,874
431201,642,-65,942
431214,667,-59,953
